"200, 1 hilo","200, 2 hilos","200, 4 hilos","200, 6 hilos","200, 8 hilos","400, 1 hilo","400, 2 hilos","400, 4 hilos","400, 6 hilos","400, 8 hilos","800, 1 hilo","800, 2 hilos","800, 4 hilos","800, 6 hilos","800, 8 hilos","1000, 1 hilo","1000, 2 hilos","1000, 4 hilos","1000, 6 hilos","1000, 8 hilos","1500, 1 hilo","1500, 2 hilos","1500, 4 hilos","1500, 6 hilos","1500, 8 hilos","2000, 1 hilo","2000, 2 hilos","2000, 4 hilos","2000, 6 hilos","2000, 8 hilos","2500, 1 hilo","2500, 2 hilos","2500, 4 hilos","2500, 6 hilos","2500, 8 hilos","4000, 1 hilo","4000, 2 hilos","4000, 4 hilos","4000, 6 hilos","4000, 8 hilos"
439500,981702,337490,685241,18205,761884,717830,94377,268563,370133,2990750,1530903,1170626,1336570,1484615,4725905,2715801,2281378,1762583,2114620,20595739,10729934,6531847,6394811,7206751,48208976,29640439,16069973,15640304,15379589,112775219,64226418,35111557,35490093,34220766,467125137,244072540,146534395,167320396,176722920
464500,995420,348162,697385,29024,950115,816162,162822,343158,436156,2321221,1727544,833899,1061975,1272512,5372181,3109728,1676390,2417643,1643201,21018397,11216069,6593776,6855356,6388401,47769167,31006783,15631751,15958645,15605526,113132317,64113732,35107866,35589211,33588247,467637217,247011612,148779743,167902597,179990252
490500,1009332,358679,709552,39461,1148910,914746,228982,417204,503352,2665457,1930518,1504045,797708,1062596,5192491,2428532,2174591,1856071,2289153,20449431,10666457,6574984,7420647,7004073,48135882,33397959,15738630,15292924,15523961,111830371,64035061,35455576,35681650,33983752,467941930,253345159,147237402,169516352,175144135
515500,23011,369502,721749,49393,337099,1012716,295111,492143,569271,2666333,2129910,1175898,1580386,855327,4788831,2921813,1682734,2267243,1993824,20807212,11162218,6860174,6723889,6241225,47751091,31152456,16235003,15763461,16024889,112365017,62793342,35697708,35326245,33426111,468603698,260256158,149903013,165937354,177600447
540500,37109,380131,733976,60197,524429,112219,361691,566234,635597,2824450,1299097,839831,1360430,1655265,5632460,3459233,2192434,1761358,1576864,21028906,10607295,6800809,7010041,6662260,48637002,29186578,15434973,15939575,14799158,112452649,59237170,35862854,34744923,33909837,483107188,256441973,148146339,165987683,177431670
565500,50706,390723,745908,70747,713027,214120,429649,641215,702060,3288785,1372621,1521779,1130244,1460845,5151736,2918837,1755603,2264478,2031316,20259835,11038064,6855458,6959732,7214693,48152043,29003867,15966817,15239452,16257316,112921970,62208647,35996206,36010397,33068707,468600725,269405108,149789975,164629196,177095265
590500,65212,401588,758296,80908,901481,312157,496963,716020,768794,2402701,1536388,1255895,938448,1175500,4943475,3318041,2142227,2036471,1495503,20677912,10467802,6985322,6930584,6339608,47683722,28553944,15184224,15453800,15014620,112424699,58907371,34910340,35009369,33659539,466511507,263440301,146966460,168295544,176168372
615500,79125,412103,770337,91783,1089893,411615,564119,791865,836135,2477822,1622788,1130963,1730247,866695,5471350,2761250,1574278,1744370,1956415,20917909,11019852,5987173,7230518,6782262,48368550,26940620,15955022,16154808,15296979,112580227,70100755,35053906,34988195,34136002,481824655,266216966,146919251,164747695,178439029
640500,93320,422850,782269,104239,281014,510457,637208,869402,913530,2594654,1705674,862863,1513130,1551626,5308262,3280711,1985112,2269879,2622060,21379912,10451539,6140134,6789190,7193659,48024995,30944547,15333489,15221751,15329361,113216262,61446600,34983163,34891963,32820765,467729171,256371538,148347537,169215544,179467077
665500,107399,433939,794449,114274,471631,609570,707646,954130,1004115,2654625,1864496,1590434,1198922,1238515,4833036,2733798,1491231,1790726,2253510,20722696,10843580,6091568,6814691,6419754,47606005,31218996,15898305,16333865,15742956,111672023,62939608,35112336,35702421,34068518,480124854,245386345,150494472,163275122,180241985
690500,122516,444523,806430,124697,660755,707000,773798,1050345,86608,2748272,2060237,1325798,888614,917857,5543550,3061824,1983990,2219393,1919117,21021489,11356391,6289420,7547634,7151108,48202963,31791594,16856608,15513133,15524010,112965894,60553947,34889859,36545485,33840115,467081185,274930898,150756756,169164590,174592459
715500,137102,454938,818582,135368,849188,808371,839842,105157,163402,3184731,1259361,1055455,1574172,1616864,5200882,2436522,1485069,1671408,2421165,20215273,10735698,6406245,6776795,6454418,47915820,29309974,16157080,16570201,16114142,112179780,64046041,34749010,35172110,33398970,466641509,261293571,149963832,167722982,179080279
