"200, 1 hilo","200, 2 hilos","200, 4 hilos","200, 6 hilos","200, 8 hilos","400, 1 hilo","400, 2 hilos","400, 4 hilos","400, 6 hilos","400, 8 hilos","800, 1 hilo","800, 2 hilos","800, 4 hilos","800, 6 hilos","800, 8 hilos","1000, 1 hilo","1000, 2 hilos","1000, 4 hilos","1000, 6 hilos","1000, 8 hilos","1500, 1 hilo","1500, 2 hilos","1500, 4 hilos","1500, 6 hilos","1500, 8 hilos","2000, 1 hilo","2000, 2 hilos","2000, 4 hilos","2000, 6 hilos","2000, 8 hilos","2500, 1 hilo","2500, 2 hilos","2500, 4 hilos","2500, 6 hilos","2500, 8 hilos","4000, 1 hilo","4000, 2 hilos","4000, 4 hilos","4000, 6 hilos","4000, 8 hilos"
136217,912990,373828,685648,20926,555342,567730,823640,1054824,247857,1997593,1316363,1266331,719527,617597,3907384,1940692,1747423,1666293,1166494,15988465,8205037,6219589,4019241,3504747,29961976,18683577,14660247,9102910,8511970,55252856,27312397,19280949,19390738,18163879,197065036,129297348,79415412,78889664,74903876
161544,927827,382790,695934,30597,766387,676313,919908,127596,312688,1633968,1172651,787331,1291852,1171176,4137017,2674560,1686854,1734159,1173371,10312486,8116951,3530181,3625526,3913292,28192621,18395390,10859820,8726966,8333904,57853745,27473970,18337031,18384875,18106159,190721631,136525437,83020368,78843166,74517735
187646,942512,391717,707477,40581,971296,787967,976675,199736,381225,2275263,1017097,1404582,852616,714986,3374682,2312851,4500053,1716910,1216758,15305881,8230499,6206687,4009524,4271275,27685070,17585457,11054004,9168765,8215480,58760373,25533070,20898532,20273249,17496285,188211215,130232667,80493431,79329884,75001674
213505,957228,401401,719020,51251,1173144,899642,1037354,270935,445815,1923643,916255,949212,1406987,1220488,3580115,1991313,1403547,1853429,1205763,10622386,7793077,5562800,3748931,3649439,27829537,18777993,12022571,8641697,8236228,53336132,27692790,20607900,18524381,19654384,187643654,125628651,81116730,79185673,73959385
240689,971767,410497,729710,60270,371960,1005733,99573,343370,508667,2541455,1760601,1492352,919602,732049,3786386,3976555,1322087,1921676,1206475,13870752,6300701,3601568,4437195,4074281,32713192,18049044,9594539,9118154,8325775,57809077,25438200,21457577,18542143,18415728,188453553,135453505,81884340,76120199,74387359
267986,985836,420121,741777,71250,579335,120721,162185,416712,579634,2216899,1677356,1039732,1501438,1272185,4013038,1680757,1241185,2034953,1207971,11162442,8221156,6691884,4178791,3414912,29745441,18051599,8833445,8492939,8213161,53151747,27287088,19118569,20680373,17824620,188118177,131904478,80513863,79916056,74746878
293961,1000032,428993,753070,80902,780410,237547,223460,492499,649452,1884359,1555697,582771,1071373,799875,5338333,2323704,1169016,1090839,1198855,12786172,7911839,6504155,3830143,3774082,27688039,19796742,10062591,9072219,8100547,53613193,27514048,18961619,18933586,18585241,187566522,133576729,82868774,82652239,75679051
320115,14068,439110,763775,92356,976245,352294,287299,567272,718610,2550644,1428331,1161280,630973,1288804,3474374,2054900,2634364,1193201,1196431,13318274,8646490,3536945,4469352,4167534,27320728,18107735,9105598,8635678,8152538,53195612,25578868,18926874,17715634,18995778,188218485,133250900,80495682,82509661,74969738
345099,30081,449141,775300,102380,1183647,464495,352539,639752,789495,2178731,1309860,702902,1197623,800114,3638426,1643902,2441133,1294384,1149157,12854069,8785193,6158813,4381258,3590678,29417583,17414854,8657628,8708810,7995715,57144627,25064392,18887318,18770548,17448559,187831184,133949088,83905916,80049583,74892499
371643,45588,458782,786006,111366,382935,571324,417837,714342,860729,1792858,1188284,1249335,766694,1300922,3789008,2260426,1347057,1377772,1122338,13591548,6255274,3202086,4027866,3841463,27284154,18343474,9634997,8921427,7865704,54910646,22292755,19698013,18535631,17344359,187996882,131548617,79753793,79087022,74145607
397183,70752,469670,796620,122924,577656,677978,483955,786361,927730,2432430,1030486,876838,1336749,815155,3922368,1993400,1652293,1447716,1112705,10926014,9757396,5499325,3632056,4249344,29304487,17955384,9009874,8519815,8700728,52409612,27729279,21762462,21462316,17295833,187459127,131223272,83431333,77023312,75168404
424713,85649,480450,808296,134263,776745,792571,552173,859466,992373,2072784,877236,1420956,913122,1307934,4109935,3847047,1565624,1544692,1141514,13819152,8672603,5891018,4277700,3729883,24820079,17641569,8417636,8946748,8686855,52573475,33308246,19459313,18833166,17779908,188041543,136745365,82925094,79943959,72083596
451345,100634,490851,820370,143372,984198,900972,658380,932725,1060568,1679772,1788710,957996,1485695,824239,5452456,2563147,1504294,1597459,1158621,11321556,8474415,4057584,3808984,4034752,27662234,18752542,8929351,8197242,8554164,53059799,28991986,21219740,19227832,18395517,188148385,136190837,83853551,80701718,76006183
477173,115066,500958,831120,154521,1193204,1009600,724698,1004173,126919,2339240,4313073,1493777,1048774,1332615,3600332,2236445,1434127,1722943,1187221,12957222,8293635,5764177,4447244,3455722,29631369,18032450,8310531,8415499,8608563,57343243,30766980,19681449,19453965,18328231,188001234,135322191,78615171,80852031,74365315
504138,129263,510219,842431,164425,390201,117391,790857,78337,195564,1976082,1143494,1025067,620834,832685,3762315,1836204,3582527,1762416,1173931,13676436,5934522,3865206,4008216,3786245,29974187,17442036,8784698,8999400,8642504,55293649,33487364,21380579,18644399,17720777,187796943,130138174,80377673,78356898,74641289
530494,144131,520596,853494,175151,590691,229804,858212,153394,265274,2546708,968861,560294,1185339,1354863,3904374,2571913,1473363,1883659,1172929,13337209,6505275,6200665,3647524,4023971,27195451,19006691,9222859,8151049,8544829,53276894,29041973,19068252,19512773,20397572,187514148,131068109,82861427,76519652,74889721
558547,159432,530263,864070,185470,792965,339877,926563,225480,332011,2122637,1792907,1088814,756202,874104,3991318,2324612,1406146,1983825,1169825,10696587,8250279,4213377,4114327,3521316,29861882,17342916,9538341,8539372,8394752,49341484,31321402,20507400,17925020,17670507,188565723,133533993,82915343,77831868,74547715
585787,174045,540699,875616,194846,994073,446685,996906,298404,400066,1761517,1616974,621502,1325291,1394193,3154127,1987133,1359671,1059813,1157242,13931065,8559228,4965181,3902404,3842135,32399122,18187423,8943150,9056627,8342106,50849846,32089832,21556492,22177509,18192420,188107969,136268867,83490264,77192824,74518784
612566,189058,551520,886876,205711,1201407,555836,66472,370187,465703,2433270,1428640,1152256,894021,914797,5961407,1690025,1309089,1132821,1150443,13558553,8328577,3320817,4382138,4119579,27137715,18089372,8393130,8716403,8489234,53102350,33018231,19478556,18885022,19337275,187526733,136751914,80705676,81536554,74336189
639354,204094,561278,898488,215855,403819,665754,168500,444595,533304,2070747,1267989,683915,1450451,1437216,4052652,2323826,3435842,1227667,1138239,10801003,5781089,5623664,3985561,3449334,27091484,17655751,8837762,9027133,8283163,57649470,31626422,19152299,22051224,17599639,190727195,135664177,83291845,77730786,75046210
664170,219345,575559,910256,225387,622731,783311,271471,515763,599641,1711676,1123035,1309294,1008353,995561,3126952,4667721,1367118,1320700,1145543,13676397,8698598,3883549,3569923,3942996,27319405,18481157,9212304,8280097,8291570,52788064,28749914,20789978,15643917,20118002,199277047,133292012,81435616,79221360,74156408
690822,235090,586140,921477,236048,823674,889462,373363,588427,670867,2353045,978476,841479,569203,520382,3319742,2326040,1277121,1425409,1195750,10942134,6243202,4415983,4182527,4260015,29957635,18220151,8881053,8900075,8239375,55477030,31344500,19748664,18965125,17454517,199079187,130822759,80719526,77826456,74842926
719189,250663,595924,932633,245485,1029979,993259,437348,663640,735151,1994217,1816149,1385424,1130853,1031082,5630930,1987193,1223803,1578449,1250627,14043295,8159074,3990732,3716162,3684431,24404011,17842508,9321846,9316603,8229295,55961024,28899261,19053909,18289322,19545342,194820070,132404900,84578799,82159596,73976472
744312,266102,606186,943403,255683,226885,1103383,502671,734562,808179,1605055,1668104,924982,693300,559593,3663933,1659567,1264211,1699900,1283437,12608566,8580052,3509130,4366432,3961298,27176165,20848944,8697855,8783137,8045385,55393187,33948584,18922804,19553992,17892768,191758777,131926907,80295952,79853051,72640896
770584,281420,616454,954405,266610,427076,208963,568947,806221,881331,2278996,1521900,1468903,1251614,1075386,3755491,2324912,1201436,1792075,1298652,13172387,8284109,4029014,4011073,3304249,31482810,18795323,9044305,9126534,8065556,55839687,30938078,18800056,18909748,19947290,191457544,133359804,81204213,76458483,74648151
