"200, 1 hilo","200, 2 hilos","200, 4 hilos","200, 6 hilos","200, 8 hilos","400, 1 hilo","400, 2 hilos","400, 4 hilos","400, 6 hilos","400, 8 hilos","800, 1 hilo","800, 2 hilos","800, 4 hilos","800, 6 hilos","800, 8 hilos","1000, 1 hilo","1000, 2 hilos","1000, 4 hilos","1000, 6 hilos","1000, 8 hilos","1500, 1 hilo","1500, 2 hilos","1500, 4 hilos","1500, 6 hilos","1500, 8 hilos","2000, 1 hilo","2000, 2 hilos","2000, 4 hilos","2000, 6 hilos","2000, 8 hilos","2500, 1 hilo","2500, 2 hilos","2500, 4 hilos","2500, 6 hilos","2500, 8 hilos","4000, 1 hilo","4000, 2 hilos","4000, 4 hilos","4000, 6 hilos","4000, 8 hilos"
983853,728412,146726,467073,828664,345404,946561,873385,914584,171311,2190792,1613809,1229370,773073,1263380,5426413,2561632,1930790,2022813,2327066,20690230,10611940,6857167,6474597,7045514,48923904,29016690,18904200,15320860,15501542,112304413,61575039,34839329,35932919,32934403,468536579,247997205,150279491,149543273,177587787
1008867,742348,156382,479360,839298,533702,1049668,939417,993609,237267,2192425,2160669,955964,1460721,966653,5064778,3084154,2459931,1490371,1957988,20795258,11147006,7022545,7138938,6532854,49334320,31352029,22110794,15692530,15834964,112584259,59071429,35967558,35717853,33385077,470346105,239124071,151570316,149119390,177179208
34001,756469,166321,491361,849926,724808,147583,1005339,1068922,304068,2144438,1401546,1707249,1177744,1654829,4734195,2595971,1995898,1910763,2596558,21117006,10470436,5970789,6229177,6810752,49031773,31076229,18712087,16862840,15560897,112325387,68912454,34642707,35553169,34125255,469281745,251477775,149059041,196406776,176694105
59063,770174,175881,503515,860232,913594,245719,70596,143857,369916,2170557,1629622,1367589,852038,1345993,5498100,2918382,1398235,2354443,2069129,20318601,10891129,6065072,6594728,7167059,49078524,34490065,19257399,15859292,15924020,111900341,64613708,35797475,36264523,32914319,467558013,256628750,147036449,204395525,179154700
84034,784542,185698,515539,871018,1101336,343264,136342,217555,436396,2286050,1822445,1032378,1655286,1081549,5136110,3245662,1794140,2094007,1530655,20628038,11246216,6476055,7029501,6870479,48466822,26282644,21674983,16111168,15833692,112661572,60658469,35586758,36157505,33269018,469886318,247366478,146081215,205727078,176324240
109306,798232,195117,527595,881543,292151,440126,201436,292991,503258,2332238,1885897,748081,1338357,882088,4871855,2794433,2208880,1766102,1988511,21004368,10732067,6580325,6042969,7132263,48738707,31910484,19201249,15022481,16259775,112744557,61375627,35515501,35497996,33613053,466693688,248256015,149537133,203636996,178566151
134379,811988,205097,539746,892049,480944,537407,267648,367838,569248,2308485,1951354,1408215,1015326,1736060,5433485,3384612,1673652,2416972,1581552,20597998,11215779,6724592,6429618,6671746,49456572,27440330,19177074,15936706,15263941,113339861,60515837,35431789,35478858,33762181,467872899,251583413,151677905,194918773,179880510
159479,825899,215410,551852,902890,669121,636217,338377,443760,636164,2371243,2027420,1288833,796189,1517596,5179660,2740287,2179287,1869978,2218433,21012110,10656197,6751685,6819805,7179026,49036688,32418119,19559871,15309853,15890399,112490109,64091415,35402623,36326877,33907166,467797256,264975843,150208776,209222352,177020427
185024,839746,225029,563981,913143,859927,733525,404085,518274,703695,2431786,1114223,942845,1680996,1292923,4694589,3111302,1780046,2399081,1841531,20173419,13406891,6826253,6933817,6259357,49019065,29513851,21477924,15998220,15952358,112359762,71453107,35278962,35151126,33588711,468716628,260127717,147298539,200485214,177985080
210762,853824,234490,576175,923531,1048480,831896,472871,592922,770435,2534237,1214509,1649834,1509674,1066461,5470812,2632712,2264071,1850805,2417355,20506496,10820438,6864847,7794444,6855753,49052247,28984023,18913687,15316874,15668228,112581726,64501878,34900947,36185462,34002532,469215343,249911084,149036319,202963613,176863146
236363,868101,244565,588323,934653,236735,929085,539780,667814,837390,2565066,1404305,1536950,1326406,823900,5123382,3144528,1693131,2473161,1870765,20747320,11302010,6816815,7057958,7056767,48189135,29555648,15805920,15597612,15591838,112629121,66725501,34818424,34856886,33305871,468545160,264387065,148837052,205360353,174714943
261358,882069,254594,600488,945024,425789,1026174,605516,743782,903107,2871307,1601770,1269008,1115811,1514930,5033669,2529587,2108642,2135431,2332611,21015107,10675615,7099368,6564492,6338637,48725377,26997349,16418712,15272916,15963989,112632042,59590214,35616424,35586409,33715560,469796338,249806701,151731794,198976381,180825530
287037,895854,265116,612725,955052,614249,124025,670626,817556,970207,2924849,1796448,1003556,940803,1194233,4645612,2915103,1528574,1706268,1788918,20522766,11079456,6095832,7358037,6860040,49277370,31217729,15624229,15724910,14641879,112641246,66558198,35422507,35771801,34494662,472936919,257415694,152143953,207921273,176240206
313506,909601,276327,624677,966001,806740,221807,755262,892876,1036458,2892473,1991507,742383,1761146,885694,5375530,3418502,1999330,2190953,2438916,20839507,10620754,6132625,6439249,7061419,49636278,28204812,16095329,16189823,16087746,112966504,60872158,35281336,35270239,33495749,466367998,280219280,148562752,202055949,176073218
338864,923732,286947,636778,976400,995009,323651,820443,967336,102558,3277741,1055504,1474231,1438020,1575684,4945364,2989571,1482544,1616031,2065059,21261735,11022798,6213479,7074419,6463265,49643056,31924848,15336647,15650154,14721800,112439519,59397092,35293358,34407956,33927639,465405260,266769169,147177648,211667518,177469965
364345,938064,297459,648875,986281,1182955,421697,885863,1042420,169203,2907015,1121949,1201536,1212325,1290650,5645643,2374214,1963630,2063825,1710711,20621838,10482717,6167707,6840388,6916432,49045767,33516370,15989955,15767360,16325027,112182518,58984932,34859660,36185738,33756970,468732997,252438066,148385736,223476150,178541420
389402,952330,308358,660973,997043,371951,519579,951797,117788,236140,3707904,1193978,864923,932127,975544,5292093,2724687,2440057,1465892,2206892,20749523,10846013,6351716,6782628,7097904,47731011,27087768,15137112,16187404,14969668,111805265,62102391,36322014,35981920,33919708,473194354,242364469,149711086,184731969,177366372
414452,966798,320533,673075,1007327,563881,618421,1024834,193186,302745,2943645,1342576,1520543,1639203,1660975,4994198,3183325,1851286,2157460,1667969,20968225,11289720,6498384,7148835,6798738,48392211,33900100,15867552,15571650,15612436,112780542,66579220,34936338,35171655,33843869,466752470,248063387,146731852,192777670,177131359
439379,981698,337486,685238,18202,761084,717730,94469,268220,369609,2989789,1530713,1170384,1335965,1484151,4725407,2715260,2281378,1762004,2113774,20594873,10729343,6531130,6394133,7206232,48202370,29639589,16069973,15639347,15379589,112774942,64225437,35110509,35489090,34219814,467124767,244072284,146533990,167319885,176722920
464878,995416,348158,697382,29021,949150,816062,163114,342294,435917,2320771,1727264,833022,1061621,1272271,5371809,3109300,1676390,2416997,1642764,21017888,11215476,6593007,6854648,6387675,47760574,31006044,15631751,15957599,15605526,113132175,64112775,35106893,35588233,33587276,467636859,247011112,148778914,167902143,179990252
490017,1009328,358675,709549,39458,1148694,914646,228739,416251,502589,2664851,1930346,1503646,797416,1062316,5192092,2428031,2174591,1855337,2288303,20448479,10666025,6574193,7420060,7003648,48129907,33397006,15738630,15291972,15523961,111830215,64034018,35454566,35680621,33982795,467941151,253344922,147236716,169515835,175144135
514975,23008,369498,721746,49390,336688,1012616,294835,491604,568664,2665760,2129753,1175508,1580207,854801,4788345,2921443,1682734,2266807,1993259,20806257,11161678,6859372,6723251,6240707,47745624,31151929,16235003,15762438,16024889,112364893,62792400,35696713,35325227,33425174,468603376,260255616,149902214,165936876,177600447
539900,37105,380127,733973,60194,524130,112119,361862,565792,635149,2823998,1298817,839084,1360175,1654959,5632004,3458849,2192434,1760742,1576404,21028014,10606789,6800316,7009426,6661723,48630492,29185588,15434973,15938550,14799158,112452571,59236151,35861780,34743947,33908884,483106712,256441276,148146168,165986999,177431670
564948,50702,390719,745905,70744,712606,214020,429410,640999,701936,3288333,1372453,1521404,1129700,1460480,5151285,2918423,1755603,2264033,2030827,20258975,11037521,6854802,6959189,7214020,48144638,29002896,15966817,15238431,16257316,112921812,62207649,35995218,36009397,33067787,468600372,269404488,149789126,164628622,177095265
589886,65208,401584,758293,80905,900796,312057,496741,715190,768276,2401987,1536016,1255696,938073,1175054,4942977,3317588,2142227,2035936,1494876,20677159,10466882,6984931,6930128,6339152,47678079,28553095,15184224,15452860,15014620,112424472,58906386,34909379,35008352,33658554,466511310,263439641,146965802,168294877,176168372
